InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
829120,Various paper supplies,237735,47547,285282,RON,2017-01-20
682444,IT Support,69243,13848.6,83091.6,CAD,2017-02-18
625077,Professional Services,205298,41059.6,246358,USD,2017-02-11
498444,Professional Services,195495,39099,234594,CAD,2017-06-23
589469,Waste management services,253643,50728.6,304372,RON,2017-06-16
478634,Professional Services,236135,47227,283362,USD,2017-06-07
695144,Concierge Services,72997,14599.4,87596.4,RON,2017-09-26
731115,Concierge Services,264421,52884.2,317305,RON,2017-10-24
660140,Professional Services,199212,39842.4,239054,CAD,2017-10-21
373298,Professional Services,2076,415.2,2491.2,EUR,2017-12-16
145930,Waste management services,210154,42030.8,252185,CAD,2017-12-11
