InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
653191,IT Support,173019,34603.8,207623,CAD,2017-02-25
107783,IT Support,171421,34284.2,205705,EUR,2017-02-12
210602,IT Support,160264,32052.8,192317,EUR,2017-03-08
564155,IT Support,194410,38882,233292,EUR,2017-05-06
651491,Beverages and Catering,136047,27209.4,163256,EUR,2017-06-28
316020,Waste management services,97016,19403.2,116419,EUR,2017-06-20
582431,Various paper supplies,258060,51612,309672,EUR,2017-07-17
498631,Concierge Services,169193,33838.6,203032,CAD,2017-08-21
366769,Various paper supplies,39867,7973.4,47840.4,EUR,2017-08-21
568024,Professional Services,72991,14598.2,87589.2,USD,2017-09-22
326231,Beverages and Catering,104606,20921.2,125527,RON,2017-10-04
112830,Professional Services,289516,57903.2,347419,CAD,2017-11-15
882048,IT Support,203774,40754.8,244529,CAD,2017-11-09
802491,Various paper supplies,76602,15320.4,91922.4,CAD,2017-12-14
