InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
576666,IT Support,3921,784.2,4705.2,EUR,2017-01-21
429961,Concierge Services,229502,45900.4,275402,USD,2017-01-02
354512,IT Support,61023,12204.6,73227.6,USD,2017-02-01
211146,Concierge Services,45253,9050.6,54303.6,CAD,2017-03-23
426140,Waste management services,128083,25616.6,153700,RON,2017-03-08
373079,IT Support,144543,28908.6,173452,RON,2017-03-23
792578,IT Support,50603,10120.6,60723.6,USD,2017-06-23
516065,Various paper supplies,225399,45079.8,270479,CAD,2017-06-19
374424,Professional Services,140693,28138.6,168832,EUR,2017-06-02
936105,IT Support,57693,11538.6,69231.6,RON,2017-08-04
204351,Various paper supplies,93676,18735.2,112411,USD,2017-10-19
477610,Waste management services,159075,31815,190890,EUR,2017-10-21
817597,Concierge Services,214072,42814.4,256886,CAD,2017-11-11
