InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
573611,IT Support,122771,24554.2,147325,EUR,2017-03-07
907251,Concierge Services,150840,30168,181008,RON,2017-04-09
852536,Professional Services,283208,56641.6,339850,CAD,2017-04-25
407329,Professional Services,150023,30004.6,180028,RON,2017-05-28
926432,Various paper supplies,232004,46400.8,278405,USD,2017-08-18
863185,IT Support,26678,5335.6,32013.6,CAD,2017-11-08
132065,Professional Services,120373,24074.6,144448,USD,2017-11-28
466550,Concierge Services,17923,3584.6,21507.6,RON,2017-12-01
195000,Beverages and Catering,151219,30243.8,181463,CAD,2017-12-13
610870,Concierge Services,146011,29202.2,175213,EUR,2017-12-19
