InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
186901,Various paper supplies,102660,20532,123192,RON,2017-01-21
783421,Various paper supplies,249687,49937.4,299624,RON,2017-03-14
562735,Waste management services,64870,12974,77844,USD,2017-03-08
203393,Professional Services,299427,59885.4,359312,EUR,2017-04-10
338569,Various paper supplies,57451,11490.2,68941.2,RON,2017-05-04
360857,Beverages and Catering,213660,42732,256392,USD,2017-05-13
974328,Beverages and Catering,97156,19431.2,116587,RON,2017-06-05
774258,Various paper supplies,148205,29641,177846,EUR,2017-07-11
885096,Waste management services,242890,48578,291468,CAD,2017-07-14
634946,Concierge Services,265121,53024.2,318145,CAD,2017-07-04
834258,Concierge Services,145887,29177.4,175064,CAD,2017-07-10
765605,IT Support,73544,14708.8,88252.8,USD,2017-10-22
