InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
289636,IT Support,5983,1196.6,7179.6,USD,2017-01-25
457940,IT Support,29040,5808,34848,RON,2017-04-15
919992,IT Support,152701,30540.2,183241,USD,2017-04-04
713421,Concierge Services,134612,26922.4,161534,EUR,2017-04-06
275703,Waste management services,172907,34581.4,207488,EUR,2017-06-08
188062,Concierge Services,260509,52101.8,312611,USD,2017-06-04
151462,Professional Services,89470,17894,107364,USD,2017-07-15
953232,Beverages and Catering,19053,3810.6,22863.6,USD,2017-09-05
744902,Professional Services,291750,58350,350100,EUR,2017-10-26
783706,IT Support,35523,7104.6,42627.6,RON,2017-10-25
636265,Concierge Services,2327,465.4,2792.4,USD,2017-11-10
568378,IT Support,124124,24824.8,148949,EUR,2017-11-21
